product_name,price,rating,review_count,avg_sentiment,category,discount,brand,primary_platform,secondary_platform
Ultra Moisturising Cream,790.0,4.88,283,0.52,skincare,0.0,Vilvah Store,Instagram,Influencer Marketing
Lip Balm - Grapefruit,290.0,4.84,820,0.562,home,0.0,Unknown,Marketplace Ads,Instagram
Milk Powder Face Wash,474.0,4.95,829,0.513,skincare,0.0,Unknown,Instagram,Influencer Marketing
Rose Milk Lip Balm,395.0,4.99,302,0.726,skincare,0.0,Unknown,Instagram,Influencer Marketing
Hairfall Control Combo,1119.0,4.96,26,0.129,haircare,0.0,Vilvah Store,Google Ads,Email
Hair Regrowth Oil,599.0,4.9,650,0.529,haircare,0.0,Unknown,Marketplace Ads,Instagram
Goat Milk Shampoo,545.0,4.89,1022,0.408,home,0.0,Unknown,Marketplace Ads,Instagram
Milk Drops Brightening Serum,640.0,4.92,2258,0.462,home,0.0,Unknown,Marketplace Ads,Instagram
Bestseller Hair Combo,1099.0,4.99,449,0.362,haircare,0.0,Unknown,Google Ads,Instagram
SPF Combo,879.0,5.0,1,0.0,home,0.0,Vilvah Store,Google Ads,Email
Charcoal Goat Milk Soap,399.0,4.86,174,0.197,generic,0.0,Vilvah Store,Google Ads,Instagram
Skin Finish Sunscreen SPF 50 PA++++,549.0,4.94,31,0.661,skincare,0.0,Vilvah Store,Instagram,Influencer Marketing
Milk Mud Mask,499.0,4.9,534,0.711,home,0.0,Unknown,Instagram,Influencer Marketing
Classic Goat Milk Soap,420.0,4.83,127,0.327,generic,0.0,Vilvah Store,Instagram,Influencer Marketing
Melt-in-Milk Sunscreen SPF 50,599.0,4.96,242,0.557,skincare,0.0,Unknown,Instagram,Influencer Marketing
Cookie N Cream Body Polish,749.0,4.8,70,0.584,skincare,0.0,Vilvah Store,Instagram,Influencer Marketing
Foot Cream,395.0,4.79,299,0.652,home,0.0,Unknown,Instagram,Influencer Marketing
Lip Lightening Combo,499.0,4.6,68,0.499,skincare,0.0,Vilvah Store,Instagram,Influencer Marketing
Deo Shot - Lavender & Sage,290.0,4.69,78,0.288,home,0.0,Vilvah Store,Instagram,Influencer Marketing
Better Ageing Serum,699.0,4.94,840,0.473,skincare,0.0,Unknown,Instagram,Influencer Marketing
Hair Regrowth Oil,599.0,4.9,650,0.529,haircare,0.0,Unknown,Marketplace Ads,Instagram
AM Brightening Combo,1099.0,5.0,2,0.538,generic,0.0,Vilvah Store,Google Ads,Email
Anti-dandruff Combo,1269.0,4.76,106,0.212,haircare,0.0,Vilvah Store,Google Ads,Instagram
Hair Strengthening Combo,1119.0,4.92,66,0.534,haircare,0.0,Vilvah Store,Google Ads,Instagram
Cookie N Cream Body Mask,699.0,5.0,56,0.244,skincare,0.0,Vilvah Store,Instagram,Influencer Marketing
Milk Body Combo,1079.0,4.97,39,0.564,skincare,0.0,Vilvah Store,Google Ads,Instagram
Pore Minimising Combo,929.0,4.96,794,0.395,generic,0.0,Unknown,Google Ads,Marketplace Ads
Honey Fix Face Wash,440.0,4.87,765,0.666,skincare,0.0,Vilvah Store,Instagram,Influencer Marketing
Cream Face Wash (Fragrance Free),440.0,4.82,97,0.285,skincare,0.0,Vilvah Store,Instagram,Influencer Marketing
Oat Milk Face Wash,430.0,4.89,210,0.311,home,0.0,Deyga,Instagram,Influencer Marketing
Soy Milk Conditioner 220ml,590.0,4.84,493,0.27,haircare,0.0,Deyga,Instagram,Influencer Marketing
Mint Lip Scrub,290.0,4.8,51,0.305,skincare,0.0,Deyga,Instagram,Influencer Marketing
Orange & Almond Face Pack Mini 15g,250.0,5.0,4,0.0,home,0.0,Deyga,Google Ads,Email
Almond Milk Body Lotion,449.0,4.69,200,0.395,skincare,0.0,Deyga,Instagram,Influencer Marketing
Strawberry Lip Scrub,290.0,4.77,296,-0.113,skincare,0.0,Deyga,Instagram,Influencer Marketing
Hair Growth Oil,600.0,4.74,1192,0.333,skincare,0.0,Deyga,Instagram,Influencer Marketing
Daily Use Healthy Hair Combo (Travel minis),349.0,4.74,2003,0.528,skincare,0.0,Deyga,Instagram,Influencer Marketing
Vanilla Lip Balm,240.0,4.78,104,0.089,skincare,0.0,Deyga,Instagram,Influencer Marketing
Face & Body Exfoliator,450.0,4.75,257,0.178,generic,0.0,Deyga,Google Ads,Instagram
Premature Greying Oil,600.0,4.57,169,0.11,skincare,0.0,Deyga,Instagram,Influencer Marketing
Beautifying Serum,690.0,4.75,324,0.584,skincare,0.0,Deyga,Instagram,Influencer Marketing
Hair Removal Powder Mini 15g,190.0,4.68,1422,0.349,skincare,0.0,Deyga,Instagram,Influencer Marketing
Neem Seed Oil,290.0,4.81,257,0.382,skincare,0.0,Deyga,Instagram,Influencer Marketing
Eyebrow Growth oil,599.0,4.82,90,0.425,haircare,0.0,Deyga,Instagram,Influencer Marketing
Charcoal Face Wash Mini 50ml,250.0,5.0,2,0.966,skincare,0.0,Deyga,Instagram,Influencer Marketing
Soft Lip Combo,519.0,4.82,95,0.283,skincare,0.0,Deyga,Instagram,Influencer Marketing
Mini Foot Spa Combo,890.0,4.98,43,0.385,generic,0.0,Deyga,Google Ads,Email
Vitamin C Foaming Facewash,440.0,4.78,312,0.252,skincare,0.0,Deyga,Instagram,Influencer Marketing
Rice Water Shampoo 220ml,545.0,4.8,1270,0.323,haircare,0.0,Deyga,Marketplace Ads,Instagram
Tea Tree Toner Mini - 50 ml,299.0,4.76,174,0.14,skincare,0.0,Deyga,Instagram,Influencer Marketing
Spirulina Matcha Face Pack,530.0,4.74,160,0.309,home,0.0,Deyga,Instagram,Influencer Marketing
Tangerine Cleansing Balm (Makeup Remover),590.0,4.59,69,0.362,skincare,0.0,Deyga,Instagram,Influencer Marketing
Soy Milk Conditioner - 50ml,230.0,4.84,493,0.27,haircare,0.0,Deyga,Instagram,Influencer Marketing
ABC Combo,1150.0,4.75,4575,0.435,skincare,0.0,Deyga,Google Ads,Instagram
Double Hydration Combo,699.0,4.78,18,0.617,skincare,0.0,Deyga,Instagram,Influencer Marketing
Baby Butter,550.0,5.0,26,0.443,generic,0.0,Deyga,Email,WhatsApp
Rose & Mulethi Skin Brightening Pack,530.0,4.74,370,0.735,home,0.0,Deyga,Instagram,Influencer Marketing
Sensitive Skin Combo,729.0,5.0,31,0.507,skincare,0.0,Deyga,Instagram,Influencer Marketing
Hair Strengthening Combo,1199.0,4.8,75,0.534,skincare,0.0,Deyga,Google Ads,Instagram
Rose Deo,399.0,4.76,41,0.389,generic,0.0,Deyga,Instagram,Influencer Marketing
Spirulina Matcha Face Pack Mini 20g,250.0,4.74,160,0.309,home,0.0,Deyga,Instagram,Influencer Marketing
Clear Skin Combo,649.0,4.79,543,0.789,haircare,0.0,Deyga,Instagram,Influencer Marketing
Soft Lip Combo,519.0,4.82,95,0.283,skincare,0.0,Deyga,Instagram,Influencer Marketing
Neem Seed Oil,290.0,4.81,257,0.382,skincare,0.0,Deyga,Instagram,Influencer Marketing
Daily Use Healthy Hair Combo,1099.0,4.74,2003,0.528,skincare,0.0,Deyga,Google Ads,Instagram
Coconut Milk Shampoo Bar,370.0,4.68,114,0.522,haircare,0.0,Deyga,Instagram,Influencer Marketing
Tangerine Cleansing Balm (Makeup Remover),590.0,4.59,69,0.362,skincare,0.0,Deyga,Instagram,Influencer Marketing
Beautifying Serum,690.0,4.75,324,0.584,skincare,0.0,Deyga,Instagram,Influencer Marketing
Strawberry Lip Scrub,290.0,4.77,296,-0.113,skincare,0.0,Deyga,Instagram,Influencer Marketing
Charcoal Face Wash Mini 50ml,250.0,5.0,2,0.966,skincare,0.0,Deyga,Instagram,Influencer Marketing
Rose & Mulethi Skin Brightening Pack,530.0,4.74,370,0.735,home,0.0,Deyga,Instagram,Influencer Marketing
Deyga 100% Plant Based Hair Color - Black,749.0,4.99,615,0.471,skincare,0.0,Deyga,Instagram,Influencer Marketing
Hair Growth Oil Mini 50 ml,375.0,4.74,1192,0.333,skincare,0.0,Deyga,Instagram,Influencer Marketing
Vanilla Lip Balm,240.0,4.78,104,0.089,skincare,0.0,Deyga,Instagram,Influencer Marketing
Eyebrow Growth oil,599.0,4.82,90,0.425,haircare,0.0,Deyga,Instagram,Influencer Marketing
Spirulina Matcha Face Pack Mini 20g,250.0,4.74,160,0.309,home,0.0,Deyga,Instagram,Influencer Marketing
Buy any 5 Minis @ ₹999,999.0,4.99,83,0.461,generic,0.0,Unknown,Google Ads,Instagram
Deyga New Age Pads,239.0,4.99,83,0.126,generic,0.0,Deyga,Google Ads,Instagram
Daily Use Healthy Hair Combo (Travel minis),349.0,4.74,2003,0.528,skincare,0.0,Deyga,Instagram,Influencer Marketing
Wild Berry Body Wash - 50ml,210.0,4.75,101,0.475,generic,0.0,Deyga,Instagram,Influencer Marketing
Hair Serum (Liquid Gold),730.0,4.77,114,0.25,skincare,0.0,Deyga,Instagram,Influencer Marketing
Rice Water Shampoo - 50 ml,199.0,4.8,1270,0.323,haircare,0.0,Deyga,Marketplace Ads,Instagram
Hair Care Combo,1499.0,4.84,578,0.364,haircare,0.0,Deyga,Google Ads,Marketplace Ads
Hydro Boosting Combo,879.0,4.88,66,0.425,skincare,0.0,Deyga,Google Ads,Instagram
Complete Dandruff Protection Combo,1099.0,4.66,147,0.257,haircare,0.0,Deyga,Google Ads,Instagram
Spirulina Matcha Face Pack,530.0,4.74,160,0.309,home,0.0,Deyga,Instagram,Influencer Marketing
Best Baby Body Lotion,550.0,4.0,2,0.348,skincare,0.0,Deyga,Instagram,Influencer Marketing
Stretch Marks Cream,549.0,5.0,200,0.221,skincare,0.0,Deyga,Instagram,Influencer Marketing
Soy Milk Conditioner 220ml,590.0,4.84,493,0.27,haircare,0.0,Deyga,Instagram,Influencer Marketing
Vitamin C Foaming Facewash,440.0,4.78,312,0.252,skincare,0.0,Deyga,Instagram,Influencer Marketing
Nourished Lips Combo,510.0,4.59,339,0.096,skincare,0.0,Deyga,Instagram,Influencer Marketing
Shea Butter Lip Balm,240.0,4.79,70,0.303,skincare,0.0,Deyga,Instagram,Influencer Marketing
Charcoal Body Wash Mini 50 ml,210.0,5.0,52,0.635,generic,0.0,Deyga,Instagram,Influencer Marketing
